fecha,PM10(ug/m3),WS(m/s),WD(°),TEMP(°C),HR(%)
2022-08-01 00:00:00,15.0,3.33,89.33,19.0,61.22
2022-08-01 01:00:00,19.0,3.14,89.43,18.0,66.68
2022-08-01 02:00:00,16.0,2.34,84.28,17.0,71.16
2022-08-01 03:00:00,9.0,2.89,83.59,16.0,74.17
2022-08-01 04:00:00,13.0,3.72,68.65,16.0,76.17
2022-08-01 05:00:00,13.0,3.63,77.08,16.0,75.46
2022-08-01 06:00:00,16.0,2.27,91.45,15.0,76.46
2022-08-01 07:00:00,25.0,2.69,102.4,16.0,77.69
2022-08-01 08:00:00,26.0,2.55,103.42,16.0,74.8
2022-08-01 09:00:00,22.0,3.47,86.26,19.0,64.2
2022-08-01 10:00:00,21.0,4.63,79.74,21.0,55.29
2022-08-01 11:00:00,16.0,4.04,89.21,23.0,47.86
2022-08-01 12:00:00,14.0,3.26,71.6,25.0,41.91
2022-08-01 13:00:00,9.0,3.0,104.49,26.0,37.73
2022-08-01 14:00:00,7.0,3.04,111.94,27.0,32.64
2022-08-01 15:00:00,6.0,3.33,120.48,28.0,32.04
2022-08-01 16:00:00,10.0,2.95,129.84,28.0,31.54
2022-08-01 17:00:00,9.0,2.47,118.19,28.0,30.85
2022-08-01 18:00:00,20.0,3.89,76.4,27.0,34.15
2022-08-01 19:00:00,25.0,3.48,252.85,24.0,44.56
2022-08-01 20:00:00,28.0,4.32,155.45,21.0,58.76
2022-08-01 21:00:00,21.0,3.36,196.04,16.0,81.69
2022-08-01 22:00:00,11.0,3.16,186.25,15.0,92.41
2022-08-01 23:00:00,7.0,1.38,228.35,15.0,95.6
2022-08-02 00:00:00,8.0,1.23,115.09,15.0,96.08
2022-08-02 01:00:00,20.0,1.17,197.65,15.0,96.69
2022-08-02 02:00:00,15.0,1.29,139.8,15.0,95.35
2022-08-02 03:00:00,10.0,1.02,125.72,15.0,95.45
2022-08-02 04:00:00,11.0,1.53,213.7,15.0,95.61
2022-08-02 05:00:00,10.0,2.14,299.71,15.0,97.31
2022-08-02 06:00:00,12.0,2.42,278.56,15.0,97.2
2022-08-02 07:00:00,15.0,2.18,263.21,15.0,97.52
2022-08-02 08:00:00,17.0,2.14,307.09,16.0,97.3
2022-08-02 09:00:00,18.0,1.37,274.8,17.0,95.78
2022-08-02 10:00:00,18.0,1.76,170.57,20.0,88.83
2022-08-02 11:00:00,25.0,2.3,121.59,22.0,77.78
2022-08-02 12:00:00,32.0,2.56,106.46,23.0,64.64
2022-08-02 13:00:00,28.0,2.2,163.75,26.0,52.61
2022-08-02 14:00:00,24.0,2.6,159.2,27.0,46.48
2022-08-02 15:00:00,12.0,2.44,167.06,28.0,41.96
2022-08-02 16:00:00,8.0,2.65,185.73,28.0,40.13
2022-08-02 17:00:00,11.0,2.89,171.05,28.0,40.61
2022-08-02 18:00:00,11.0,2.64,122.16,27.0,41.3
2022-08-02 19:00:00,35.0,3.44,253.24,23.0,52.38
2022-08-02 20:00:00,29.0,1.69,187.51,22.0,60.59
2022-08-02 21:00:00,37.0,3.8,108.23,21.0,60.69
2022-08-02 22:00:00,32.0,2.4,151.21,19.0,62.55
2022-08-02 23:00:00,26.0,2.92,104.66,18.0,70.41
2022-08-03 00:00:00,24.0,2.65,103.94,18.0,78.9
2022-08-03 01:00:00,23.0,2.04,93.21,17.0,83.52
2022-08-03 02:00:00,11.0,2.49,85.81,17.0,82.93
2022-08-03 03:00:00,21.0,1.97,90.13,17.0,84.1
2022-08-03 04:00:00,20.0,1.36,140.69,16.0,86.04
2022-08-03 05:00:00,25.0,2.26,128.2,16.0,87.48
2022-08-03 06:00:00,32.0,2.25,117.61,16.0,89.25
2022-08-03 07:00:00,35.0,2.34,138.21,16.0,88.69
2022-08-03 08:00:00,38.0,2.11,98.32,17.0,87.55
2022-08-03 09:00:00,29.0,2.39,125.58,22.0,72.36
2022-08-03 10:00:00,24.0,3.16,111.24,23.0,60.22
2022-08-03 11:00:00,27.0,2.7,130.08,25.0,52.1
2022-08-03 12:00:00,18.0,2.08,165.15,27.0,46.23
2022-08-03 13:00:00,22.0,2.01,223.47,26.0,45.31
2022-08-03 14:00:00,17.0,2.67,245.69,27.0,43.27
2022-08-03 15:00:00,12.0,3.01,258.6,28.0,40.87
2022-08-03 16:00:00,16.0,2.72,256.35,29.0,37.24
2022-08-03 17:00:00,15.0,2.9,252.55,28.0,36.58
2022-08-03 18:00:00,19.0,3.61,268.82,27.0,42.28
2022-08-03 19:00:00,38.0,3.47,286.08,21.0,65.74
2022-08-03 20:00:00,22.0,2.1,270.84,22.0,63.56
2022-08-03 21:00:00,33.0,2.06,299.79,21.0,60.66
2022-08-03 22:00:00,39.0,2.35,226.65,21.0,64.77
2022-08-03 23:00:00,34.0,2.11,100.7,19.0,74.39
2022-08-04 00:00:00,23.0,1.79,100.55,18.0,84.34
2022-08-04 01:00:00,21.0,2.23,110.05,18.0,83.26
2022-08-04 02:00:00,30.0,1.84,120.87,17.0,83.86
2022-08-04 03:00:00,21.0,1.26,160.28,16.0,82.75
2022-08-04 04:00:00,19.0,1.1,96.9,16.0,83.54
2022-08-04 05:00:00,33.0,1.44,122.08,16.0,83.97
2022-08-04 06:00:00,45.0,1.64,143.76,16.0,85.62
2022-08-04 07:00:00,50.0,1.67,119.55,16.0,88.25
2022-08-04 08:00:00,40.0,2.09,125.09,17.0,85.31
2022-08-04 09:00:00,38.0,2.4,111.45,18.0,78.57
2022-08-04 10:00:00,44.0,2.08,148.35,21.0,70.55
2022-08-04 11:00:00,41.0,1.85,153.43,24.0,59.0
2022-08-04 12:00:00,28.0,2.02,178.49,25.0,52.96
2022-08-04 13:00:00,35.0,2.36,254.96,27.0,45.05
2022-08-04 14:00:00,14.0,2.49,259.23,28.0,40.62
2022-08-04 16:00:00,10.0,2.62,240.94,29.0,34.44
2022-08-04 17:00:00,24.0,3.04,257.38,29.0,33.27
2022-08-04 18:00:00,36.0,3.85,265.38,28.0,37.81
2022-08-04 19:00:00,32.0,3.93,279.76,24.0,56.96
2022-08-04 20:00:00,24.0,2.55,286.68,21.0,73.46
2022-08-04 21:00:00,30.0,2.14,305.15,20.0,73.99
2022-08-04 22:00:00,33.0,2.73,205.83,20.0,72.42
2022-08-04 23:00:00,22.0,2.07,174.52,19.0,66.57
2022-08-05 00:00:00,21.0,2.25,91.11,17.0,70.2
2022-08-05 01:00:00,30.0,1.98,119.13,17.0,74.99
2022-08-05 02:00:00,32.0,1.94,119.99,16.0,80.3
2022-08-05 03:00:00,20.0,2.69,107.4,16.0,84.33
2022-08-05 04:00:00,21.0,1.22,196.35,15.0,85.53
2022-08-05 05:00:00,29.0,1.18,108.36,15.0,85.44
2022-08-05 06:00:00,29.0,1.74,156.87,15.0,84.96
2022-08-05 07:00:00,34.0,2.38,141.62,15.0,85.62
2022-08-05 08:00:00,42.0,2.54,122.42,18.0,78.57
2022-08-05 09:00:00,45.0,2.83,100.2,21.0,65.66
2022-08-05 10:00:00,41.0,3.64,109.86,23.0,55.01
2022-08-05 11:00:00,31.0,3.53,109.09,24.0,49.1
2022-08-05 12:00:00,29.0,2.97,119.16,25.0,44.08
2022-08-05 13:00:00,22.0,2.98,111.62,27.0,38.05
2022-08-05 14:00:00,20.0,3.22,119.57,27.0,33.13
2022-08-05 15:00:00,24.0,2.86,140.2,28.0,31.12
2022-08-05 16:00:00,9.0,3.0,127.22,29.0,29.23
2022-08-05 19:00:00,8.0,2.88,63.47,26.0,29.94
2022-08-05 20:00:00,14.0,4.19,67.36,25.0,32.33
2022-08-05 21:00:00,28.0,3.46,77.37,23.0,42.33
2022-08-05 22:00:00,38.0,3.41,98.9,21.0,52.78
2022-08-05 23:00:00,40.0,2.95,114.83,19.0,60.9
2022-08-06 00:00:00,42.0,3.18,95.97,18.0,60.44
2022-08-06 01:00:00,23.0,3.38,81.64,17.0,57.57
2022-08-06 02:00:00,22.0,3.83,77.12,16.0,66.38
2022-08-06 03:00:00,27.0,3.16,76.73,16.0,65.63
2022-08-06 04:00:00,26.0,2.74,97.37,15.0,66.74
2022-08-06 05:00:00,31.0,1.98,118.08,14.0,71.68
2022-08-06 06:00:00,36.0,2.12,133.39,13.0,77.44
2022-08-06 07:00:00,48.0,2.57,112.59,14.0,81.26
2022-08-06 08:00:00,57.0,2.49,88.73,17.0,72.48
2022-08-06 09:00:00,48.0,4.6,86.42,20.0,61.17
2022-08-06 10:00:00,44.0,4.97,94.57,21.0,54.78
2022-08-06 11:00:00,37.0,3.69,83.77,23.0,49.24
2022-08-06 12:00:00,34.0,2.65,126.07,26.0,39.09
2022-08-06 13:00:00,13.0,2.55,169.84,27.0,34.05
2022-08-06 14:00:00,23.0,2.9,117.52,27.0,33.01
2022-08-06 15:00:00,29.0,1.78,191.87,29.0,31.18
2022-08-06 16:00:00,31.0,2.45,154.2,28.0,31.22
2022-08-06 17:00:00,35.0,3.5,123.38,27.0,33.59
2022-08-06 18:00:00,48.0,3.24,179.95,24.0,43.98
2022-08-06 19:00:00,38.0,3.07,241.29,21.0,52.05
2022-08-06 20:00:00,30.0,2.76,270.75,19.0,62.18
2022-08-06 21:00:00,26.0,2.49,245.73,19.0,64.18
2022-08-06 22:00:00,29.0,2.18,219.01,19.0,63.51
2022-08-06 23:00:00,27.0,2.55,163.55,19.0,67.44
2022-08-07 00:00:00,15.0,1.8,109.54,18.0,72.54
2022-08-07 01:00:00,13.0,1.28,70.74,17.0,75.11
2022-08-07 02:00:00,26.0,1.35,149.49,17.0,74.74
2022-08-07 03:00:00,19.0,1.54,124.72,16.0,74.66
2022-08-07 04:00:00,22.0,1.86,89.48,15.0,77.56
2022-08-07 05:00:00,25.0,1.56,108.86,15.0,80.34
2022-08-07 06:00:00,23.0,1.41,138.19,14.0,82.08
2022-08-07 07:00:00,33.0,1.47,147.89,14.0,82.66
2022-08-07 08:00:00,40.0,1.68,125.4,16.0,80.0
2022-08-07 09:00:00,33.0,3.67,78.82,20.0,64.66
2022-08-07 10:00:00,28.0,4.91,80.79,21.0,56.34
2022-08-07 11:00:00,23.0,4.65,84.0,23.0,51.23
2022-08-07 12:00:00,22.0,4.51,90.89,25.0,45.89
2022-08-07 13:00:00,20.0,4.45,86.51,26.0,39.48
2022-08-07 14:00:00,18.0,4.09,92.41,27.0,34.72
2022-08-07 15:00:00,17.0,4.22,95.15,28.0,31.65
2022-08-07 16:00:00,15.0,4.1,78.85,29.0,27.5
2022-08-07 17:00:00,15.0,3.99,100.12,29.0,24.79
2022-08-07 18:00:00,9.0,2.57,109.89,29.0,25.8
2022-08-07 19:00:00,19.0,2.43,216.54,27.0,30.46
2022-08-07 20:00:00,27.0,4.68,78.19,25.0,38.47
2022-08-07 21:00:00,31.0,5.91,53.9,23.0,47.46
2022-08-07 22:00:00,27.0,5.05,50.36,21.0,53.03
2022-08-07 23:00:00,24.0,4.02,88.15,20.0,58.24
2022-08-08 00:00:00,23.0,3.8,71.04,19.0,63.35
2022-08-08 03:00:00,8.0,2.9,95.95,17.0,71.37
2022-08-08 04:00:00,37.0,2.67,83.32,16.0,75.27
2022-08-08 05:00:00,37.0,3.02,82.7,15.0,76.88
2022-08-08 06:00:00,18.0,3.08,86.25,15.0,80.49
2022-08-08 07:00:00,21.0,3.25,82.13,15.0,81.29
2022-08-08 08:00:00,26.0,3.81,79.31,16.0,74.34
2022-08-08 09:00:00,20.0,4.32,72.41,19.0,62.45
2022-08-08 10:00:00,16.0,4.84,70.84,22.0,49.71
2022-08-08 11:00:00,15.0,4.34,73.24,23.0,45.07
2022-08-08 12:00:00,15.0,3.73,80.48,24.0,40.66
2022-08-08 14:00:00,13.0,3.75,99.87,27.0,32.9
2022-08-08 15:00:00,13.0,3.86,98.27,28.0,29.2
2022-08-08 16:00:00,21.0,4.35,69.58,28.0,27.36
2022-08-08 17:00:00,32.0,5.75,71.42,26.0,34.1
2022-08-08 18:00:00,25.0,4.36,59.02,24.0,41.4
2022-08-08 19:00:00,15.0,3.15,74.61,24.0,39.9
2022-08-08 20:00:00,24.0,3.13,74.59,23.0,42.57
2022-08-08 21:00:00,22.0,3.35,87.82,21.0,47.38
2022-08-08 22:00:00,19.0,3.08,85.95,20.0,54.63
2022-08-08 23:00:00,17.0,3.43,70.43,18.0,58.2
2022-08-09 00:00:00,14.0,2.51,97.07,17.0,61.39
2022-08-09 02:00:00,7.0,2.8,65.0,16.0,66.95
2022-08-09 03:00:00,9.0,2.57,66.42,15.0,70.05
2022-08-09 04:00:00,12.0,2.93,79.0,15.0,70.37
