YEAR,MONTH,DAY,HOUR,PM10(ug/m3),WS(m/s),WD(°),TEMP(°C),HR(%)
2023,ENE,1,0,201,1.09,236.97,10.38,55.65
2023,ENE,1,1,285,1.5,279.41,14.57,58.29
2023,ENE,1,2,391,1.69,283.43,13.37,63.24
2023,ENE,1,3,343,1.25,243.25,12.28,65.08
2023,ENE,1,4,427,1.53,238.98,11.49,68.21
2023,ENE,1,5,264,1.23,120.48,10.54,72.2
2023,ENE,1,6,165,1.15,96.74,9.27,79.65
2023,ENE,1,7,171,1.18,114.7,8.48,83.52
2023,ENE,1,8,129,1.87,126.37,7.82,86.49
2023,ENE,1,9,95,1.76,122.2,11.76,76.34
2023,ENE,1,10,84,2.22,119.47,15.87,62.16
2023,ENE,1,11,66,2.21,155.76,18.8,52.82
2023,ENE,1,12,44,1.58,232.53,21.89,43.58
2023,ENE,1,13,46,2.24,237.86,22.87,39.08
2023,ENE,1,14,29,2.26,214.7,24.07,35.02
2023,ENE,1,15,35,1.88,260.6,22.67,37.45
2023,ENE,1,16,54,2.57,175.64,21.49,40.16
2023,ENE,1,17,84,3.52,133.44,20.66,43.77
2023,ENE,1,18,53,2.8,238.25,15.18,70.27
2023,ENE,1,19,19,1.64,281.48,14.01,84.88
2023,ENE,1,20,38,1.5,298.84,14.1,85.61
2023,ENE,1,21,57,0.96,233.06,13.2,86.64
2023,ENE,1,22,64,1.04,179.88,12.44,88.69
2023,ENE,1,23,51,1.53,241.55,11.75,88.31
2023,ENE,2,0,78,1.05,176.29,11.15,88.31
2023,ENE,2,1,64,1.01,159.73,10.95,89.9
2023,ENE,2,2,51,1.06,198,10.02,89.72
2023,ENE,2,3,43,1,282.32,9.7,89.13
2023,ENE,2,4,33,1.21,115.59,9,90.85
2023,ENE,2,5,36,1.05,194.35,8.05,91.89
2023,ENE,2,6,36,1.03,251.52,8.19,90.75
2023,ENE,2,7,44,1.07,273.56,8.45,89.11
2023,ENE,2,8,42,1,231.95,8.16,90.01
2023,ENE,2,9,40,1.22,251.93,12.98,82.47
2023,ENE,2,10,39,1.03,183.46,16.58,70.65
2023,ENE,2,11,39,1.59,227.57,19.09,64.75
2023,ENE,2,12,28,3.42,244.17,19.93,54.35
2023,ENE,2,13,19,4.47,235.39,21.18,38.44
2023,ENE,2,14,18,4.9,248.44,22.07,27.26
2023,ENE,2,15,23,4.98,277.2,21.29,29.15
2023,ENE,2,16,28,4.45,274.08,19.68,29.32
2023,ENE,2,17,21,4.64,272.68,20.4,28.06
2023,ENE,2,18,28,4.02,264.44,19.09,32.98
2023,ENE,2,19,33,2.81,264.1,17.13,41.78
2023,ENE,2,20,48,2.66,271.32,15.18,47.91
2023,ENE,2,21,74,2.36,230.87,14.51,49.31
2023,ENE,2,22,59,1.78,143.82,13.03,51.87
2023,ENE,2,23,67,1.13,129.02,11.68,56.42
2023,ENE,3,0,47,1.4,231.73,11.53,57.25
2023,ENE,3,1,54,1.77,294.22,11.49,59.34
2023,ENE,3,2,43,1.31,198.44,11.97,56.91
2023,ENE,3,3,37,1.43,144.47,10.98,57.82
2023,ENE,3,4,33,1.37,278.42,9.93,60.49
2023,ENE,3,5,36,1.66,279.15,9.28,63.82
2023,ENE,3,6,37,1.62,245.64,8.67,66.32
2023,ENE,3,7,43,1.33,218.63,8.11,68.52
2023,ENE,3,8,69,1.3,263.81,8.31,68.19
2023,ENE,3,9,93,1.06,198.34,14.09,60.01
2023,ENE,3,10,98,1.8,264.46,17.48,51.07
2023,ENE,3,11,56,2.29,285.26,19.15,44.52
2023,ENE,3,12,28,2.72,265.59,20.75,38.55
2023,ENE,3,13,24,3.46,279.08,21.92,35.19
2023,ENE,3,14,26,4.27,259.59,23.05,30.83
2023,ENE,3,15,32,4.74,252.66,23.49,26.34
2023,ENE,3,16,30,4.66,246.45,23.51,25.71
2023,ENE,3,17,28,4.57,264.53,23.37,24.04
2023,ENE,3,18,40,3.76,269.93,22.15,27.25
2023,ENE,3,19,47,2.71,261.97,19.35,34.74
2023,ENE,3,20,50,2.4,271.16,17.21,41.08
2023,ENE,3,21,76,1.95,244.95,15.79,45.15
2023,ENE,3,22,85,1.32,190.02,14.41,48.97
2023,ENE,3,23,73,1.5,198.01,13.66,50.18
2023,ENE,4,0,63,1.56,272.07,12.94,52.47
2023,ENE,4,1,75,0.98,210.72,11.57,54.73
2023,ENE,4,2,79,1.01,198.32,10.87,57.47
2023,ENE,4,3,72,1.19,218.55,10.07,60.34
2023,ENE,4,4,57,1.05,74.47,8.93,65.25
2023,ENE,4,5,59,1.05,150.78,8.15,67.74
2023,ENE,4,6,60,1.25,144.86,7.52,69.67
2023,ENE,4,7,80,1.19,101.69,7.06,73.19
2023,ENE,4,8,75,0.97,63.64,7.52,73.62
2023,ENE,4,9,102,1.24,163.61,12.03,64.17
2023,ENE,4,10,102,1.74,133.38,14.68,56.43
2023,ENE,4,11,96,1.69,154.68,17.96,47.96
2023,ENE,4,12,119,1.52,209.85,21.24,40.79
2023,ENE,4,13,77,2.11,248.28,22.78,35.06
2023,ENE,4,14,43,1.98,207.38,23.66,31.71
2023,ENE,4,15,NA,NA,NA,NA,NA
2023,ENE,4,16,NA,NA,NA,NA,NA
2023,ENE,4,17,42,1.84,175.5,25.23,22.49
2023,ENE,4,18,103,1.19,202.13,23.83,23.31
2023,ENE,4,19,108,1.13,259.99,20.03,28.97
2023,ENE,4,20,148,0.97,216.82,17.52,32.99
2023,ENE,4,21,261,0.97,138.82,15.85,36.6
2023,ENE,4,22,310,1.04,133.9,14.38,41.51
2023,ENE,4,23,231,1.9,103.38,13.27,47.68
2023,ENE,5,0,147,2.67,111.63,12.61,50.53
2023,ENE,5,1,104,2.66,116.39,12.14,53.34
2023,ENE,5,2,69,2.58,85.67,11.83,56.34
2023,ENE,5,3,64,2.09,89.74,10.91,59.87
2023,ENE,5,4,59,2.33,112.74,10.18,63.98
2023,ENE,5,5,67,1.86,112.83,9.46,68.54
2023,ENE,5,6,89,1.73,105.58,8.9,72.24
2023,ENE,5,7,64,2.57,89.42,8.96,72.8
2023,ENE,5,8,71,2.27,65.18,8.96,74.77
2023,ENE,5,9,70,2.66,80.9,11.92,67.19
2023,ENE,5,10,75,3.16,106.1,15.36,53.73
2023,ENE,5,11,63,3.82,95.31,19.02,41.5
2023,ENE,5,12,57,3.83,86.29,21.21,34.91
2023,ENE,5,13,43,4.37,93.4,23.03,29.76
2023,ENE,5,14,46,3.97,99.7,24.22,27
2023,ENE,5,15,45,3.52,95.36,25.25,22.11
2023,ENE,5,16,44,3.08,112.78,25.92,20.31
2023,ENE,5,17,53,3.18,132.05,25.6,21.58
2023,ENE,5,18,64,2.53,124.85,24.25,24.3
2023,ENE,5,19,86,4.42,66.59,21.41,27.07
2023,ENE,5,20,73,6,46.07,19.4,29.68
2023,ENE,5,21,55,3.96,55.49,17.65,38.17
2023,ENE,5,22,54,2.98,79.01,16.46,40.32
2023,ENE,5,23,53,4.15,98.59,14.38,49.57
2023,ENE,6,0,50,4.25,98.48,13.16,52.42
2023,ENE,6,1,42,3.93,82.12,12.38,54.61
2023,ENE,6,2,27,4.04,81.55,12.22,55.75
2023,ENE,6,3,36,2.33,137.73,10.65,58.75
2023,ENE,6,4,33,2.29,127.22,8.63,66.24
2023,ENE,6,5,31,3.17,108.39,8.53,68.26
2023,ENE,6,6,34,3.03,112.13,8.19,70.04
2023,ENE,6,7,32,3.19,110.37,7.79,71.83
2023,ENE,6,8,48,3.31,113.15,8.09,71.64
2023,ENE,6,9,68,3.28,112.67,10.77,64.47
2023,ENE,6,10,67,3.66,89.57,13.79,54.45
2023,ENE,6,11,51,3.7,85.92,17.09,42.43
2023,ENE,6,12,NA,4.01,98.7,19.56,34.06
2023,ENE,6,13,NA,2.67,119.04,22.27,29.42
2023,ENE,6,14,14,2.15,151.01,24.28,22.9
2023,ENE,6,15,17,2.28,159.4,24.89,19.19
2023,ENE,6,16,30,2.2,192.4,25.4,18
2023,ENE,6,17,32,1.75,238.85,25.14,17.41
2023,ENE,6,18,42,1.56,215.66,23.79,17.63
2023,ENE,6,19,78,1.17,230.3,19.96,20.47
2023,ENE,6,20,125,0.96,238.2,17.5,24.03
2023,ENE,6,21,173,1.72,121.71,16.15,27.94
2023,ENE,6,22,129,2.2,65.47,16.53,26.71
2023,ENE,6,23,71,1.32,120.23,14.16,29.49
2023,ENE,7,0,62,2.37,86.85,12.34,35.23
2023,ENE,7,1,38,2.61,95.33,11.49,40.03
2023,ENE,7,2,34,2.51,125.37,10.24,47.09
2023,ENE,7,3,40,2.33,114.94,9.82,52.52
2023,ENE,7,4,42,2.23,105.77,9.18,54.88
2023,ENE,7,5,54,1.57,115.34,8.1,58.6
2023,ENE,7,6,60,2.02,102.79,7.77,61.78
2023,ENE,7,7,56,2.67,100.73,8.16,64.85
2023,ENE,7,8,74,1.64,150.27,6.97,67.55
2023,ENE,7,9,100,2.05,129.43,9.92,59.91
2023,ENE,7,10,102,3.02,105.84,13.12,53.16
