fecha,PM10(ug/m3),WS(m/s),WD(°),TEMP(°C),HR(%)
2023-01-01 00:00:00,201.0,1.09,236.97,10.38,55.65
2023-01-01 01:00:00,285.0,1.5,279.41,14.57,58.29
2023-01-01 02:00:00,391.0,1.69,283.43,13.37,63.24
2023-01-01 03:00:00,343.0,1.25,243.25,12.28,65.08
2023-01-01 04:00:00,427.0,1.53,238.98,11.49,68.21
2023-01-01 05:00:00,264.0,1.23,120.48,10.54,72.2
2023-01-01 06:00:00,165.0,1.15,96.74,9.27,79.65
2023-01-01 07:00:00,171.0,1.18,114.7,8.48,83.52
2023-01-01 08:00:00,129.0,1.87,126.37,7.82,86.49
2023-01-01 09:00:00,95.0,1.76,122.2,11.76,76.34
2023-01-01 10:00:00,84.0,2.22,119.47,15.87,62.16
2023-01-01 11:00:00,66.0,2.21,155.76,18.8,52.82
2023-01-01 12:00:00,44.0,1.58,232.53,21.89,43.58
2023-01-01 13:00:00,46.0,2.24,237.86,22.87,39.08
2023-01-01 14:00:00,29.0,2.26,214.7,24.07,35.02
2023-01-01 15:00:00,35.0,1.88,260.6,22.67,37.45
2023-01-01 16:00:00,54.0,2.57,175.64,21.49,40.16
2023-01-01 17:00:00,84.0,3.52,133.44,20.66,43.77
2023-01-01 18:00:00,53.0,2.8,238.25,15.18,70.27
2023-01-01 19:00:00,19.0,1.64,281.48,14.01,84.88
2023-01-01 20:00:00,38.0,1.5,298.84,14.1,85.61
2023-01-01 21:00:00,57.0,0.96,233.06,13.2,86.64
2023-01-01 22:00:00,64.0,1.04,179.88,12.44,88.69
2023-01-01 23:00:00,51.0,1.53,241.55,11.75,88.31
2023-01-02 00:00:00,78.0,1.05,176.29,11.15,88.31
2023-01-02 01:00:00,64.0,1.01,159.73,10.95,89.9
2023-01-02 02:00:00,51.0,1.06,198.0,10.02,89.72
2023-01-02 03:00:00,43.0,1.0,282.32,9.7,89.13
2023-01-02 04:00:00,33.0,1.21,115.59,9.0,90.85
2023-01-02 05:00:00,36.0,1.05,194.35,8.05,91.89
2023-01-02 06:00:00,36.0,1.03,251.52,8.19,90.75
2023-01-02 07:00:00,44.0,1.07,273.56,8.45,89.11
2023-01-02 08:00:00,42.0,1.0,231.95,8.16,90.01
2023-01-02 09:00:00,40.0,1.22,251.93,12.98,82.47
2023-01-02 10:00:00,39.0,1.03,183.46,16.58,70.65
2023-01-02 11:00:00,39.0,1.59,227.57,19.09,64.75
2023-01-02 12:00:00,28.0,3.42,244.17,19.93,54.35
