YEAR,MONTH,DAY,HOUR,PM10(ug/m3),WS(m/s),WD(°),TEMP(°C),HR(%)
2022,JUL,1,0,NA,NA,NA,NA,NA
2022,JUL,1,1,8.00,2.92,243.64,18.83,73.55
2022,JUL,1,2,7.00,3.32,290.63,19.22,68.49
2022,JUL,1,3,14.00,1.75,233.63,18.90,69.92
2022,JUL,1,4,20.00,1.65,92.41,18.78,70.78
2022,JUL,1,5,19.00,2.51,158.99,18.58,69.83
2022,JUL,1,6,19.00,1.62,259.79,17.97,75.13
2022,JUL,1,7,26.00,1.56,265.37,17.60,77.59
2022,JUL,1,8,24.00,1.45,130.25,21.26,70.26
2022,JUL,1,9,28.00,2.69,102.60,22.56,57.81
2022,JUL,1,10,15.00,3.66,102.24,23.61,49.47
2022,JUL,1,11,22.00,3.44,121.01,23.24,49.64
2022,JUL,1,12,12.00,3.08,145.58,24.94,45.49
2022,JUL,1,13,24.00,2.83,157.28,26.60,38.49
2022,JUL,1,14,17.00,3.62,155.79,27.71,34.26
2022,JUL,1,15,16.00,2.65,162.20,29.05,31.64
2022,JUL,1,16,10.00,2.41,166.69,30.38,27.03
2022,JUL,1,17,103.00,3.67,226.94,28.67,30.44
2022,JUL,1,18,238.00,5.86,141.90,22.20,49.45
2022,JUL,1,19,45.00,3.56,174.67,21.33,51.89
2022,JUL,1,20,34.00,2.22,238.08,21.77,48.15
2022,JUL,1,21,26.00,2.26,246.10,20.32,59.37
2022,JUL,1,22,28.00,2.11,252.19,20.56,58.22
2022,JUL,1,23,30.00,1.91,224.54,20.30,61.15
2022,JUL,2,0,53.00,1.91,236.18,19.54,65.94
2022,JUL,2,1,36.00,1.82,212.27,19.41,67.86
2022,JUL,2,2,23.00,1.55,182.58,18.69,70.47
2022,JUL,2,3,27.00,2.22,150.61,17.99,74.36
2022,JUL,2,4,26.00,1.28,128.18,17.04,79.21
2022,JUL,2,5,30.00,1.55,90.19,16.89,78.99
2022,JUL,2,6,37.00,1.80,122.32,16.62,79.20
2022,JUL,2,7,39.00,2.44,132.80,16.35,81.34
2022,JUL,2,8,28.00,2.75,116.32,18.19,75.77
2022,JUL,2,9,39.00,3.02,125.51,20.49,65.77
2022,JUL,2,10,23.00,2.91,115.74,22.14,55.52
2022,JUL,2,11,14.00,3.18,121.95,23.52,51.15
2022,JUL,2,12,34.00,2.93,129.27,25.04,46.82
2022,JUL,2,13,17.00,2.69,110.20,27.17,39.62
2022,JUL,2,14,17.00,2.85,125.49,28.20,33.02
2022,JUL,2,15,15.00,3.40,158.68,28.67,31.28
2022,JUL,2,16,16.00,2.77,160.79,29.35,29.16
2022,JUL,2,17,23.00,2.66,146.91,27.98,32.04
2022,JUL,2,18,56.00,4.53,97.80,26.25,35.55
2022,JUL,2,19,105.00,4.01,85.11,24.52,41.88
2022,JUL,2,20,41.00,4.04,148.54,22.63,48.93
2022,JUL,2,21,35.00,3.05,197.72,20.85,58.34
2022,JUL,2,22,28.00,3.44,251.11,19.51,63.66
2022,JUL,2,23,28.00,3.94,300.63,18.32,72.54
2022,JUL,3,0,27.00,3.93,288.55,18.19,67.85
2022,JUL,3,1,16.00,2.65,277.10,17.82,67.00
2022,JUL,3,2,15.00,2.38,229.00,16.89,73.56
2022,JUL,3,3,20.00,1.78,261.56,16.96,75.42
2022,JUL,3,4,17.00,1.39,263.84,17.06,75.42
2022,JUL,3,5,23.00,1.88,280.55,16.86,76.10
2022,JUL,3,6,25.00,1.68,285.08,16.41,78.31
2022,JUL,3,7,29.00,1.83,303.85,16.82,80.83
2022,JUL,3,8,30.00,1.76,136.91,17.90,77.22
2022,JUL,3,9,26.00,2.52,100.68,19.91,67.68
2022,JUL,3,10,18.00,4.54,88.13,21.66,60.64
2022,JUL,3,11,19.00,4.08,101.14,22.89,56.26
2022,JUL,3,12,21.00,3.66,95.64,23.75,52.97
2022,JUL,3,13,54.00,3.87,92.88,26.88,40.55
2022,JUL,3,14,76.00,3.63,101.29,27.84,35.97
2022,JUL,3,15,19.00,3.44,84.16,28.05,32.38
2022,JUL,3,16,7.00,3.39,108.03,27.89,29.15
2022,JUL,3,17,8.00,2.93,170.50,29.90,25.12
2022,JUL,3,18,17.00,3.45,126.97,28.43,34.13
2022,JUL,3,19,28.00,3.02,136.17,25.96,39.25
2022,JUL,3,20,34.00,3.14,203.93,23.88,46.82
2022,JUL,3,21,29.00,2.58,231.34,21.98,52.63
2022,JUL,3,22,32.00,3.19,275.47,21.41,55.56
2022,JUL,3,23,24.00,3.99,281.98,21.22,55.14
2022,JUL,4,0,23.00,4.59,89.36,20.81,55.50
2022,JUL,4,1,18.00,3.97,85.72,19.48,61.78
2022,JUL,4,2,17.00,3.67,64.77,19.08,63.25
2022,JUL,4,3,20.00,2.87,65.54,18.26,65.79
2022,JUL,4,4,19.00,3.55,64.25,17.68,66.94
2022,JUL,4,5,20.00,3.12,81.89,17.10,68.51
2022,JUL,4,6,25.00,2.79,104.83,16.37,73.05
2022,JUL,4,7,38.00,2.18,97.55,16.45,75.04
2022,JUL,4,8,39.00,3.09,101.15,18.99,68.51
2022,JUL,4,9,33.00,5.41,69.64,21.40,57.27
2022,JUL,4,10,34.00,5.90,69.74,22.70,51.86
2022,JUL,4,11,43.00,5.74,74.12,24.33,45.95
2022,JUL,4,12,58.00,5.69,77.51,25.76,40.02
2022,JUL,4,13,146.00,6.85,80.40,26.72,33.36
2022,JUL,4,14,173.00,6.69,87.35,27.58,29.66
2022,JUL,4,15,48.00,5.52,79.64,28.50,27.79
